HospitalName,phonenumber,LocationAddress,Area
AAYUSH MULTI SPECIALITY HOSPITAL,7419593751,"DILSUKHNAGAR,DILSUKHNAGAR,HYDERABAD",DILSUKHNAGAR
ADARSHA HOSPITAL,8106108108,"DOOR NO: 2-8-85,BESIDE PADMANAYAKA KALYANA MANDAPAM,MUKARAMPURA",MUKARAMPURA
ADITYA HOSPITAL ,4033855555,"2-3-215/H/A/NR,SHANTHI NAGAR,UPPAL",UPPAL
AMERICAN ONCOLOGY INSTITUTE,9100779772,"NALAGANDLA,SERILINGAMPALLY,HYDERABAD",SERILINGAMPALLY
APOLLO SPECTRA HOSPITALS ,4023782378,"ANAND BAGH,AMEERPET,AMEERPET",AMEERPET
ASTER PRIME HOSPITAL,9.14E+12," PVT.LTD)	7-1-450/20, 7-1-450/20/A/1/5, PLOT .NO.2&4, MYTHRI VIHAR,AMEERPET,HYDERABAD",AMEERPET
AWARE GLENEAGLES GLOBAL HOSPITAL,4024111111,"8-16-01,BHAGYA NAGAR, BAIRAMALGUDA,HYDERABAD", BAIRAMALGUDA
BASAVATARAKAM INDO AMERICAN CANCER HOSPITAL & RESEARCH INSTITUTE,9.14E+11,"INSTITUTE	ROAD NO.10,BANJARA HILLS,HYDERABAD",BANJARA HILLS
BHRUNGI HOSPITALS,8348108108,"PLOT. NO. 93,SREEPURAM COLONY,B.N. REDDY NAGAR",B.N. REDDY
CARE HOSPITAL,4033623500,"EXHIBITION GROUNDS ROAD,NAMPALLY,HYDERABAD",NAMPALLY
CARE HOSPITAL,40461656565,"MALAKPET,CHADERGHAT,HYDERABAD",MALAKPET
CARE HOSPITAL,4033623500,"PLOT NO. 48 TO 52, JAYABHERI , HITECH CITYPINE VALLEY,GACHIBOWLI,HYDERABAD",HITECH CITY
CARE HOSPITAL,40461656565,"6-3-248/2, RD.NO. 1, BANJARA HILLS,BANJARA HILLS,HYDERABAD", BANJARA HILLS
CENTURY SUPER SPECIALITY HOSPITALS,4067833333,"8-2-703/A/1/2 & 703/AG,ROAD.NO.12,HYDERABAD",Hyderabad 
CLEAR VISION EYE HOSPITAL,8008888511,"3-6-272, NVK TOWERS, OPP. TELUGU ACADEMY, HIMAYATH NAGAR,HYDERABAD",HIMAYATH NAGAR
